PassengerId,Name,Sex,Age,Pclass,SibSp,Parch,Fare,Embarked,Cabin,Ticket,Survived
52,Passenger_000052,male,31.5,3,0,2,7.65,S,F,TKT-684766,0
53,Passenger_000053,female,45.2,3,0,0,5.44,C,F,TKT-365524,0
54,Passenger_000054,female,30.1,3,0,2,25.05,S,,TKT-612431,1
55,Passenger_000055,female,23.2,3,0,0,16.32,S,F,TKT-534117,0
56,Passenger_000056,female,28.9,3,0,0,8.21,C,E,TKT-425831,0
57,Passenger_000057,male,47.8,3,0,0,15.46,S,,TKT-845653,0
58,Passenger_000058,male,,2,1,0,34.05,S,F,TKT-259667,1
59,Passenger_000059,male,3.9,1,2,1,109.42,S,C,TKT-988700,1
60,Passenger_000060,male,29.0,1,1,1,180.98,S,A,TKT-610833,1
61,Passenger_000061,female,37.2,3,1,0,12.08,S,G,TKT-843970,0
62,Passenger_000062,male,34.1,3,0,0,16.37,S,,TKT-516325,0
63,Passenger_000063,male,69.5,3,4,0,21.5,S,F,TKT-107216,0
64,Passenger_000064,female,37.3,3,0,1,10.18,S,,TKT-819330,0
65,Passenger_000065,male,43.2,3,0,0,10.9,S,G,TKT-731493,1
66,Passenger_000066,male,15.7,3,0,0,7.08,Q,G,TKT-682040,0
67,Passenger_000067,male,13.0,2,0,0,52.77,S,,TKT-718413,1
68,Passenger_000068,male,23.7,3,1,0,11.48,C,F,TKT-234036,0
69,Passenger_000069,male,17.0,3,1,0,13.94,S,E,TKT-203538,0
70,Passenger_000070,male,32.7,1,0,0,136.64,C,A,TKT-823486,0
71,Passenger_000071,male,23.0,3,3,0,19.82,S,,TKT-813546,0
72,Passenger_000072,male,,2,2,0,63.72,S,F,TKT-810120,0
73,Passenger_000073,female,43.3,3,0,0,16.79,S,,TKT-469946,1
74,Passenger_000074,male,34.8,3,0,0,18.68,S,,TKT-834535,0
75,Passenger_000075,male,34.5,3,2,0,18.49,S,G,TKT-420299,0
76,Passenger_000076,male,24.0,3,2,0,13.5,S,E,TKT-413671,1
77,Passenger_000077,male,37.5,3,1,0,13.12,S,E,TKT-528739,0
78,Passenger_000078,female,33.4,3,0,0,8.09,C,G,TKT-312376,0
79,Passenger_000079,male,35.2,1,0,0,49.19,S,C,TKT-928149,1
80,Passenger_000080,female,23.3,3,0,0,5.93,S,G,TKT-886009,1
81,Passenger_000081,female,19.9,1,2,3,150.29,S,D,TKT-300723,1
82,Passenger_000082,male,24.4,3,0,0,7.23,C,F,TKT-177604,1
83,Passenger_000083,female,15.6,2,0,0,47.15,C,,TKT-164096,1
84,Passenger_000084,male,58.1,3,0,0,5.88,S,,TKT-662330,0
85,Passenger_000085,male,0.5,2,0,0,40.47,S,,TKT-657810,1
86,Passenger_000086,male,,2,0,3,37.79,C,,TKT-183056,0
87,Passenger_000087,female,,2,0,4,32.66,S,,TKT-369798,1
88,Passenger_000088,male,16.8,1,0,0,57.37,S,C,TKT-150763,1
89,Passenger_000089,male,33.5,3,4,0,16.5,S,E,TKT-566400,0
90,Passenger_000090,male,12.9,3,1,0,17.16,S,,TKT-471942,0
91,Passenger_000091,male,3.6,2,0,0,16.74,S,,TKT-139865,0
92,Passenger_000092,female,19.9,1,0,0,65.59,S,,TKT-410902,1
93,Passenger_000093,male,46.6,3,0,1,12.16,S,F,TKT-912608,1
94,Passenger_000094,male,35.7,3,0,0,18.03,Q,F,TKT-835137,1
95,Passenger_000095,male,43.2,3,0,0,10.38,S,G,TKT-375673,0
96,Passenger_000096,male,49.6,3,0,0,5.36,S,G,TKT-628850,0
97,Passenger_000097,male,41.8,3,1,0,8.94,S,G,TKT-845429,1
98,Passenger_000098,male,21.7,3,0,0,14.62,S,,TKT-946182,0
99,Passenger_000099,male,27.0,3,1,0,9.44,Q,,TKT-215980,1
100,Passenger_000100,female,15.0,3,0,0,8.96,C,F,TKT-362798,1
101,Passenger_000101,female,24.9,3,0,0,15.91,C,E,TKT-864067,0
102,Passenger_000102,female,19.7,3,0,1,8.77,N,,TKT-243619,1
103,Passenger_000103,male,36.3,3,0,0,34.77,S,G,TKT-580558,0
104,Passenger_000104,female,14.0,2,0,1,41.22,S,F,TKT-298988,1
105,Passenger_000105,female,,3,1,0,27.73,C,G,TKT-993595,1
106,Passenger_000106,female,43.2,3,0,0,5.61,C,,TKT-121796,1
107,Passenger_000107,male,46.0,3,0,0,10.91,S,G,TKT-800296,0
108,Passenger_000108,male,40.0,3,0,0,5.79,S,,TKT-292400,1
109,Passenger_000109,male,17.0,3,3,0,16.82,S,G,TKT-500505,0
110,Passenger_000110,female,68.4,2,0,0,30.43,S,F,TKT-940677,0
111,Passenger_000111,male,23.3,1,0,0,124.05,S,,TKT-979127,1
112,Passenger_000112,male,,1,0,0,114.66,S,B,TKT-100720,0
113,Passenger_000113,male,23.7,1,1,0,68.59,S,D,TKT-269078,1
114,Passenger_000114,male,,1,1,0,113.39,C,B,TKT-390852,0
115,Passenger_000115,male,0.5,3,0,0,18.74,S,,TKT-837578,0
116,Passenger_000116,female,35.5,3,0,0,31.67,Q,G,TKT-185410,0
117,Passenger_000117,female,14.0,2,0,0,40.5,S,,TKT-922355,0
118,Passenger_000118,female,46.7,3,0,0,21.7,S,,TKT-550075,1
119,Passenger_000119,male,38.6,3,0,0,15.46,S,,TKT-887850,0
120,Passenger_000120,male,49.3,1,0,0,126.72,S,,TKT-160333,0
121,Passenger_000121,male,23.2,2,0,0,19.01,S,,TKT-789572,1
122,Passenger_000122,male,,2,0,1,19.78,S,,TKT-495966,0
123,Passenger_000123,male,44.1,2,0,0,50.87,S,,TKT-325723,1
124,Passenger_000124,male,37.5,2,0,0,12.61,S,D,TKT-463873,0
125,Passenger_000125,male,38.1,1,0,0,72.38,Q,A,TKT-313338,0
126,Passenger_000126,male,31.0,3,3,0,15.73,C,G,TKT-870054,1
127,Passenger_000127,male,18.8,3,0,0,6.67,C,,TKT-145793,0
128,Passenger_000128,male,21.5,3,0,0,8.77,S,,TKT-679577,0
129,Passenger_000129,male,42.1,2,0,0,26.15,S,D,TKT-890784,0
130,Passenger_000130,male,38.9,2,0,3,31.89,S,E,TKT-516898,0
131,Passenger_000131,male,39.1,2,0,0,17.88,S,E,TKT-453363,0
132,Passenger_000132,female,21.0,1,0,1,105.78,S,D,TKT-798781,1
133,Passenger_000133,male,17.5,3,0,0,6.65,C,G,TKT-336542,0
134,Passenger_000134,male,22.5,1,2,0,153.9,Q,D,TKT-623146,0
135,Passenger_000135,male,21.5,2,3,0,29.16,Q,E,TKT-945667,0
136,Passenger_000136,male,55.0,3,0,2,22.58,S,E,TKT-757046,0
137,Passenger_000137,female,45.7,3,0,0,12.43,S,F,TKT-362900,0
138,Passenger_000138,male,,3,5,2,27.52,C,E,TKT-702467,0
139,Passenger_000139,female,,3,1,0,24.76,S,F,TKT-636632,1
140,Passenger_000140,male,37.2,2,0,0,26.49,S,,TKT-517338,0
141,Passenger_000141,male,32.3,3,0,0,12.77,S,E,TKT-297340,0
142,Passenger_000142,male,27.5,2,0,0,21.06,S,D,TKT-512389,0
143,Passenger_000143,female,43.1,3,0,0,12.33,S,F,TKT-409933,1
144,Passenger_000144,male,22.5,1,1,0,93.38,S,D,TKT-336393,0
145,Passenger_000145,male,46.8,2,0,0,23.66,S,D,TKT-779842,1
146,Passenger_000146,male,28.6,3,0,0,6.39,S,,TKT-102319,1
147,Passenger_000147,male,41.1,3,0,1,8.44,S,,TKT-672407,0
148,Passenger_000148,male,45.7,3,3,0,17.07,S,,TKT-591435,1
149,Passenger_000149,male,24.0,3,1,2,22.74,S,,TKT-408545,0
150,Passenger_000150,male,40.0,3,1,0,19.06,C,G,TKT-498346,0
151,Passenger_000151,female,43.4,1,0,2,96.75,C,D,TKT-690642,1
152,Passenger_000152,female,17.6,3,1,2,37.95,S,F,TKT-385744,1
153,Passenger_000153,male,34.8,3,0,0,11.65,S,,TKT-343811,0
154,Passenger_000154,male,,2,1,0,45.11,S,F,TKT-322521,0
155,Passenger_000155,male,38.0,2,2,0,26.58,C,D,TKT-576722,0
156,Passenger_000156,female,31.5,3,0,2,14.01,C,G,TKT-387770,0
157,Passenger_000157,male,43.6,2,0,0,16.5,S,,TKT-446851,0
158,Passenger_000158,female,53.6,3,0,1,9.92,S,F,TKT-137709,1
159,Passenger_000159,female,40.2,3,1,0,11.8,S,G,TKT-915950,1
160,Passenger_000160,female,53.0,3,0,0,6.25,C,F,TKT-479115,1
161,Passenger_000161,male,33.9,3,0,0,12.01,S,,TKT-708219,1
162,Passenger_000162,female,46.9,3,1,0,19.0,S,,TKT-236420,0
163,Passenger_000163,male,25.2,3,0,0,17.32,C,E,TKT-615928,0
164,Passenger_000164,male,54.6,1,0,0,80.11,S,B,TKT-193502,0
165,Passenger_000165,male,32.3,1,0,0,113.4,S,C,TKT-193838,0
166,Passenger_000166,male,32.5,1,0,0,123.39,S,,TKT-110288,0
167,Passenger_000167,female,46.1,1,0,0,102.42,S,A,TKT-244390,0
168,Passenger_000168,female,33.3,3,1,3,20.1,C,F,TKT-405014,1
169,Passenger_000169,male,28.4,1,0,0,81.5,S,,TKT-214681,1
170,Passenger_000170,female,24.6,3,1,0,16.43,S,E,TKT-807656,1
171,Passenger_000171,male,37.9,2,0,0,39.09,S,E,TKT-327287,0
172,Passenger_000172,male,31.7,3,0,0,12.76,Q,E,TKT-169645,0
173,Passenger_000173,male,29.1,2,0,0,23.65,C,,TKT-325939,1
174,Passenger_000174,female,40.9,1,0,0,81.04,S,A,TKT-531481,1
175,Passenger_000175,male,41.2,1,0,0,106.17,S,,TKT-702543,1
176,Passenger_000176,male,17.2,1,0,4,93.33,S,,TKT-296954,1
177,Passenger_000177,male,17.0,1,0,0,103.36,S,C,TKT-776710,0
178,Passenger_000178,female,6.2,3,0,0,7.11,S,,TKT-225136,1
179,Passenger_000179,female,8.7,1,0,0,87.96,C,,TKT-652357,1
180,Passenger_000180,female,58.0,3,1,2,26.73,C,E,TKT-812330,0
181,Passenger_000181,female,28.1,3,1,3,13.99,S,E,TKT-544944,0
182,Passenger_000182,female,40.2,3,1,0,14.37,S,E,TKT-217608,1
183,Passenger_000183,male,34.8,3,0,0,13.87,C,F,TKT-688494,1
184,Passenger_000184,male,41.6,1,0,0,70.97,S,A,TKT-970604,0
185,Passenger_000185,female,43.1,3,0,0,24.72,S,F,TKT-152812,0
186,Passenger_000186,female,7.6,3,0,2,13.45,S,F,TKT-656454,1
187,Passenger_000187,male,,1,3,0,71.0,Q,B,TKT-710363,0
188,Passenger_000188,male,35.6,3,0,0,18.29,S,G,TKT-218153,0
189,Passenger_000189,female,38.3,3,0,2,13.69,S,F,TKT-814869,1
190,Passenger_000190,male,23.5,1,1,0,120.94,S,,TKT-195310,1
191,Passenger_000191,female,35.7,3,0,1,13.64,S,F,TKT-584972,0
192,Passenger_000192,male,28.1,3,0,2,8.41,C,F,TKT-530931,0
193,Passenger_000193,male,22.0,3,0,0,8.5,Q,F,TKT-917170,1
194,Passenger_000194,female,27.0,3,0,0,15.53,Q,E,TKT-920558,0
195,Passenger_000195,male,21.4,3,0,0,14.41,S,F,TKT-555573,1
196,Passenger_000196,male,46.9,3,0,0,13.13,S,G,TKT-565767,0
197,Passenger_000197,male,31.4,2,0,0,34.24,C,,TKT-520493,0
198,Passenger_000198,female,19.7,3,0,0,7.18,Q,F,TKT-530260,0
199,Passenger_000199,male,31.5,2,0,0,20.43,S,,TKT-200578,1
200,Passenger_000200,male,34.7,3,0,0,11.01,C,G,TKT-777707,0
201,Passenger_000201,female,17.4,3,0,0,18.7,Q,E,TKT-550107,1
202,Passenger_000202,female,41.6,3,0,0,16.71,S,F,TKT-658985,1
203,Passenger_000203,male,32.4,3,1,0,15.9,S,,TKT-595806,0
204,Passenger_000204,male,40.0,3,0,0,10.77,N,,TKT-310111,0
205,Passenger_000205,male,25.6,1,0,2,100.23,C,,TKT-198343,0
206,Passenger_000206,male,23.1,3,3,0,17.68,S,F,TKT-693334,0
207,Passenger_000207,male,16.3,1,3,0,106.89,S,,TKT-460606,0
208,Passenger_000208,female,41.7,3,0,0,22.45,S,E,TKT-489910,1
209,Passenger_000209,male,,3,1,0,11.92,S,,TKT-870280,0
210,Passenger_000210,male,25.5,3,0,0,15.76,S,F,TKT-961335,0
211,Passenger_000211,female,19.8,2,5,2,30.71,C,,TKT-785855,1
212,Passenger_000212,male,15.4,3,0,0,13.38,S,F,TKT-436774,0
213,Passenger_000213,male,45.0,3,0,0,8.72,S,G,TKT-245276,0
214,Passenger_000214,female,,3,1,1,13.42,S,E,TKT-818188,0
215,Passenger_000215,female,17.4,3,0,1,8.95,S,,TKT-212218,0
216,Passenger_000216,female,52.4,1,0,0,31.35,S,D,TKT-650010,1
217,Passenger_000217,male,39.8,3,0,1,15.51,S,F,TKT-805755,1
218,Passenger_000218,male,28.6,3,0,0,8.31,S,F,TKT-558265,0
219,Passenger_000219,female,40.8,3,0,0,10.45,S,F,TKT-799032,1
220,Passenger_000220,male,32.2,3,5,0,21.23,S,,TKT-935887,0
221,Passenger_000221,male,14.8,2,0,1,21.26,S,,TKT-617147,0
222,Passenger_000222,male,23.0,3,1,0,8.99,S,,TKT-711875,1
223,Passenger_000223,female,30.8,2,0,0,35.71,S,F,TKT-762601,0
224,Passenger_000224,female,30.3,2,0,3,22.14,S,E,TKT-984505,1
225,Passenger_000225,male,30.4,3,0,0,4.56,C,,TKT-230996,0
226,Passenger_000226,female,39.6,1,0,1,81.82,S,D,TKT-556062,1
227,Passenger_000227,male,13.6,1,0,0,35.92,Q,A,TKT-594995,1
228,Passenger_000228,male,30.1,2,1,0,21.87,S,,TKT-160765,0
229,Passenger_000229,male,26.8,2,0,0,17.34,C,,TKT-570813,0
230,Passenger_000230,male,49.5,3,0,0,7.34,S,F,TKT-822780,0
231,Passenger_000231,male,26.9,3,0,1,14.89,S,F,TKT-143949,0
232,Passenger_000232,male,43.6,3,0,0,11.93,S,E,TKT-531772,0
233,Passenger_000233,female,50.0,3,0,0,8.85,Q,F,TKT-339252,0
234,Passenger_000234,male,,1,0,0,104.06,S,D,TKT-137185,0
235,Passenger_000235,female,,3,1,0,26.78,S,G,TKT-887186,1
236,Passenger_000236,female,41.4,3,0,0,7.93,Q,F,TKT-630150,1
237,Passenger_000237,male,45.4,3,0,1,11.64,C,G,TKT-427572,0
238,Passenger_000238,female,14.4,1,2,1,95.87,C,C,TKT-437135,1
239,Passenger_000239,male,33.5,2,0,0,29.83,S,D,TKT-340724,0
240,Passenger_000240,male,16.1,1,0,0,65.25,S,B,TKT-625394,0
241,Passenger_000241,female,44.9,3,1,3,14.05,C,E,TKT-753896,1
242,Passenger_000242,female,6.9,2,0,1,36.53,S,D,TKT-537522,1
243,Passenger_000243,male,,3,0,1,11.51,S,F,TKT-701115,0
244,Passenger_000244,male,32.5,3,0,0,31.11,S,F,TKT-477293,0
245,Passenger_000245,male,29.7,3,0,0,7.92,S,G,TKT-281865,1
246,Passenger_000246,female,7.7,3,0,0,15.53,S,E,TKT-631731,1
247,Passenger_000247,male,29.0,1,1,0,156.66,C,,TKT-301653,0
248,Passenger_000248,male,12.3,1,0,0,37.07,C,D,TKT-223639,0
249,Passenger_000249,male,29.2,3,0,0,20.73,S,,TKT-805371,0
250,Passenger_000250,male,31.3,1,0,0,225.04,S,C,TKT-586053,0
251,Passenger_000251,female,31.7,3,0,0,28.51,C,G,TKT-417684,0
252,Passenger_000252,female,22.1,1,0,0,82.38,S,B,TKT-743768,1
253,Passenger_000253,male,18.5,3,0,0,13.16,S,E,TKT-935694,1
254,Passenger_000254,male,29.3,2,0,0,19.72,S,,TKT-216449,0
255,Passenger_000255,male,54.8,3,0,1,13.87,C,F,TKT-724632,1
256,Passenger_000256,female,21.0,3,0,0,3.4,C,,TKT-467816,1
257,Passenger_000257,female,29.8,3,1,1,43.78,S,,TKT-904236,0
258,Passenger_000258,male,45.9,3,1,0,18.64,S,G,TKT-930316,0
259,Passenger_000259,male,37.6,3,0,3,15.7,S,E,TKT-260663,0
260,Passenger_000260,male,29.2,2,0,0,13.62,S,E,TKT-511345,1
261,Passenger_000261,male,6.9,2,1,2,26.03,S,F,TKT-646089,0
262,Passenger_000262,female,20.1,2,0,0,30.23,S,D,TKT-675352,0
263,Passenger_000263,male,32.8,2,0,0,33.87,C,D,TKT-991026,0
264,Passenger_000264,male,33.2,3,0,0,20.52,S,E,TKT-442438,0
265,Passenger_000265,female,37.5,3,0,0,22.05,S,E,TKT-687341,1
266,Passenger_000266,male,9.0,3,0,1,5.76,S,G,TKT-149639,1
267,Passenger_000267,male,9.4,1,0,0,133.81,S,,TKT-340225,1
268,Passenger_000268,male,37.3,3,0,1,9.49,S,G,TKT-571390,1
269,Passenger_000269,male,14.8,3,0,1,18.03,S,,TKT-104070,0
270,Passenger_000270,male,20.2,3,0,0,23.85,S,F,TKT-443219,0
271,Passenger_000271,male,28.6,3,0,0,25.48,S,E,TKT-417807,0
272,Passenger_000272,male,33.5,3,0,0,19.44,S,,TKT-823259,0
273,Passenger_000273,male,34.0,1,0,0,38.23,S,A,TKT-972081,0
274,Passenger_000274,male,69.7,3,0,3,11.18,S,F,TKT-108655,0
275,Passenger_000275,female,34.6,2,0,0,35.2,S,E,TKT-430535,0
276,Passenger_000276,male,29.7,1,0,0,96.72,S,D,TKT-550742,0
277,Passenger_000277,male,29.1,3,0,0,7.4,Q,G,TKT-113677,0
278,Passenger_000278,male,,1,0,0,115.55,S,A,TKT-826837,0
279,Passenger_000279,female,9.3,3,0,0,10.15,S,E,TKT-842474,1
280,Passenger_000280,female,21.8,3,0,0,11.33,S,G,TKT-959903,1
281,Passenger_000281,male,27.4,3,0,0,6.92,S,E,TKT-609030,1
282,Passenger_000282,male,33.4,3,0,0,22.47,S,E,TKT-850376,0
283,Passenger_000283,male,32.8,3,0,0,19.44,S,E,TKT-352291,1
284,Passenger_000284,male,29.9,3,0,0,17.31,S,,TKT-422411,1
285,Passenger_000285,male,34.8,3,0,0,22.62,Q,F,TKT-222253,0
286,Passenger_000286,male,38.4,1,1,0,120.55,S,C,TKT-936600,0
287,Passenger_000287,male,12.0,2,0,2,27.8,C,,TKT-815965,0
288,Passenger_000288,male,42.8,1,0,0,143.81,C,B,TKT-850509,0
289,Passenger_000289,male,,3,0,0,7.65,S,,TKT-752452,1
290,Passenger_000290,male,15.0,1,0,0,72.59,S,C,TKT-734825,0
291,Passenger_000291,female,26.6,1,0,0,117.48,S,,TKT-921383,1
292,Passenger_000292,male,27.5,3,0,0,10.95,S,G,TKT-758888,0
293,Passenger_000293,female,34.8,2,0,1,29.4,S,D,TKT-853369,0
294,Passenger_000294,male,46.2,1,3,0,206.3,S,,TKT-754441,0
295,Passenger_000295,female,6.6,1,0,0,59.77,S,,TKT-479571,1
296,Passenger_000296,female,21.2,1,0,0,37.37,C,C,TKT-224001,1
297,Passenger_000297,female,0.5,1,0,0,235.22,S,D,TKT-992134,0
298,Passenger_000298,female,30.1,3,1,0,7.47,S,E,TKT-861684,1
299,Passenger_000299,female,33.1,2,0,0,18.91,Q,F,TKT-385926,1
300,Passenger_000300,male,25.2,3,1,0,28.86,Q,G,TKT-710739,0
301,Passenger_000301,female,33.9,2,1,0,21.51,C,,TKT-283925,0
302,Passenger_000302,male,35.9,2,0,0,19.77,S,,TKT-897735,0
303,Passenger_000303,male,24.6,2,0,0,9.57,S,E,TKT-828812,0
304,Passenger_000304,male,35.1,1,0,0,101.65,C,,TKT-609597,0
305,Passenger_000305,female,12.7,1,5,0,196.57,C,D,TKT-265834,1
306,Passenger_000306,male,29.2,3,1,2,13.22,S,,TKT-358284,0
307,Passenger_000307,male,38.4,3,0,0,9.75,S,,TKT-727784,0
308,Passenger_000308,male,36.9,3,2,1,23.06,Q,,TKT-661855,0
309,Passenger_000309,male,34.0,3,0,0,20.88,S,E,TKT-760578,1
310,Passenger_000310,male,34.6,2,0,0,12.41,S,F,TKT-184020,0
311,Passenger_000311,male,29.5,3,2,1,15.77,S,E,TKT-191367,0
312,Passenger_000312,male,30.5,1,0,2,51.87,S,D,TKT-278026,1
313,Passenger_000313,male,24.7,3,0,0,10.09,C,E,TKT-194611,0
314,Passenger_000314,male,38.0,2,0,0,25.08,S,,TKT-237928,1
315,Passenger_000315,male,44.8,3,0,0,13.53,S,G,TKT-627734,0
316,Passenger_000316,male,27.8,3,0,0,5.43,C,,TKT-963200,0
317,Passenger_000317,male,31.4,2,0,2,27.4,S,D,TKT-563824,0
318,Passenger_000318,female,16.8,1,0,1,54.95,S,,TKT-362182,1
319,Passenger_000319,male,,3,1,0,28.42,Q,,TKT-218177,1
320,Passenger_000320,female,45.7,3,3,3,24.22,Q,G,TKT-601095,1
321,Passenger_000321,female,37.8,2,0,2,56.39,C,F,TKT-539914,0
322,Passenger_000322,male,49.8,3,1,1,23.19,Q,,TKT-760596,1
323,Passenger_000323,male,52.2,3,1,0,14.96,Q,F,TKT-347664,0
324,Passenger_000324,male,44.4,3,3,0,17.64,S,F,TKT-153340,1
325,Passenger_000325,female,58.1,3,2,0,36.3,C,E,TKT-350207,0
326,Passenger_000326,female,32.4,1,0,0,127.62,S,C,TKT-998907,1
327,Passenger_000327,female,13.2,1,1,0,91.82,S,,TKT-757520,1
328,Passenger_000328,male,37.1,3,2,0,11.38,C,E,TKT-304530,0
329,Passenger_000329,male,40.7,3,5,0,19.13,Q,G,TKT-822126,0
330,Passenger_000330,male,15.1,3,1,0,10.89,C,E,TKT-645503,0
331,Passenger_000331,female,56.6,3,4,1,13.0,C,,TKT-884524,1
332,Passenger_000332,male,41.7,3,0,1,8.24,S,,TKT-123183,1
333,Passenger_000333,female,27.9,3,0,0,7.21,C,,TKT-500820,0
334,Passenger_000334,female,41.2,3,0,1,12.91,C,,TKT-966564,0
335,Passenger_000335,male,34.8,2,0,2,33.88,S,E,TKT-921145,0
336,Passenger_000336,male,40.4,3,0,0,12.81,S,F,TKT-198587,0
337,Passenger_000337,male,45.5,3,0,0,6.47,S,,TKT-221380,0
338,Passenger_000338,female,40.9,3,0,0,12.01,C,G,TKT-384868,0
339,Passenger_000339,male,44.9,2,0,2,31.86,S,F,TKT-810832,0
340,Passenger_000340,female,,3,2,0,12.83,Q,F,TKT-308968,0
341,Passenger_000341,male,,1,0,0,103.71,C,A,TKT-782262,1
342,Passenger_000342,female,22.8,3,4,0,17.19,Q,,TKT-393085,0
343,Passenger_000343,female,,3,0,1,9.21,S,,TKT-360069,1
344,Passenger_000344,male,27.5,3,0,1,14.26,S,F,TKT-216328,0
345,Passenger_000345,female,29.1,3,1,0,7.44,S,F,TKT-827446,0
346,Passenger_000346,female,37.9,3,1,0,17.03,Q,,TKT-538126,1
347,Passenger_000347,female,25.4,2,1,0,28.26,S,F,TKT-307235,1
348,Passenger_000348,male,24.0,3,0,0,8.44,S,G,TKT-702195,1
349,Passenger_000349,male,44.0,1,0,0,69.74,S,C,TKT-328636,0
350,Passenger_000350,male,44.8,3,1,3,12.31,S,E,TKT-359226,0
351,Passenger_000351,male,18.3,3,0,0,18.41,S,F,TKT-272820,1
352,Passenger_000352,male,30.4,3,4,0,20.32,S,,TKT-645951,0
353,Passenger_000353,male,28.0,3,1,0,35.79,S,F,TKT-523752,0
354,Passenger_000354,male,17.0,2,2,1,52.8,S,F,TKT-989331,0
355,Passenger_000355,male,27.0,3,2,0,5.78,N,G,TKT-548120,0
356,Passenger_000356,male,29.5,3,0,0,21.6,S,F,TKT-668025,0
357,Passenger_000357,female,,3,2,0,15.9,C,,TKT-211178,0
358,Passenger_000358,female,20.1,2,0,0,13.6,S,,TKT-799621,0
359,Passenger_000359,male,40.6,2,2,0,33.53,S,,TKT-376316,0
360,Passenger_000360,male,15.6,1,3,0,224.04,S,A,TKT-617081,1
