Customer_ID,Age,Annual_Income,Credit_Score,Account_Tenure_Years,Monthly_Spend,Support_Calls,Late_Payments,Login_Frequency,Churn
C01104,27,63527,808,4.3,138.19,1,3,17.8,0
C00169,34,27148,572,7.7,172.47,2,4,18.1,0
C01671,51,71904,588,3.3,73.64,0,0,22.0,0
C02571,53,40991,693,8.0,105.73,2,1,18.9,0
C02378,26,46213,686,9.4,156.99,4,1,19.5,0
C04396,41,43144,755,8.0,185.06,2,1,9.5,0
C04258,24,79231,728,8.4,141.52,3,0,5.0,0
C03863,30,73972,603,6.2,236.84,0,0,17.5,0
C00024,58,55242,735,7.0,183.11,2,1,21.0,0
C02634,43,44717,689,3.2,87.05,3,1,19.4,1
C03341,42,63040,652,8.0,246.62,4,0,7.7,0
C02216,36,49621,689,4.6,196.66,1,0,13.3,0
C03683,29,74290,713,8.1,134.09,1,1,17.6,0
C04725,32,52872,742,2.3,310.05,2,1,7.6,0
C01908,27,33032,690,3.5,241.1,0,0,17.2,0
C00085,46,72224,658,9.2,143.44,2,0,21.5,0
C00228,44,62278,638,6.4,126.15,0,0,23.9,0
C00297,54,42527,537,9.2,228.48,0,3,13.8,0
C01002,50,69679,731,6.3,122.07,5,2,17.1,0
C02139,42,50572,720,6.1,238.43,3,1,21.0,0
C00712,41,51048,558,3.5,156.06,2,0,11.9,1
C02802,38,70818,674,7.7,215.13,1,1,28.3,0
C02528,58,18000,530,6.5,153.36,2,0,6.7,0
C03753,59,43770,652,3.3,224.69,2,0,16.8,0
C03322,27,79780,744,4.2,253.69,0,1,20.0,0
C03182,28,18000,669,5.2,160.44,1,2,11.8,0
C04184,55,45186,549,4.0,203.06,0,2,19.7,1
C01616,27,70953,769,5.1,38.67,2,1,20.3,0
C03025,35,50543,701,10.3,154.84,2,1,14.6,1
C01414,52,60922,597,8.1,269.66,1,3,14.1,0
C00764,58,46775,769,2.4,107.85,3,0,18.7,0
C00656,42,47166,669,0.2,178.14,3,0,17.4,0
C04798,25,19875,620,0.7,184.31,2,0,11.0,0
C03850,29,26924,696,3.0,213.47,3,0,21.4,0
C04154,60,73989,676,2.2,66.83,4,2,18.0,0
C00469,28,60360,603,6.8,176.87,2,1,19.4,0
C00158,43,58071,680,7.4,251.11,1,1,21.0,0
C01296,41,43636,681,7.0,137.24,0,1,12.7,0
C00498,35,50599,694,4.4,223.19,1,0,27.5,0
C04741,31,45713,701,3.3,173.41,2,0,15.3,0
C02941,49,36222,565,6.6,96.42,5,1,13.1,0
C03457,51,52568,624,2.9,182.6,2,2,31.0,0
C00374,35,67648,777,1.6,218.63,1,0,16.3,0
C00080,47,65236,784,4.7,219.05,3,0,14.5,0
C01554,45,36200,687,5.3,237.08,0,0,24.5,0
C01670,50,45869,619,6.2,154.77,0,1,17.7,0
C02132,60,18425,788,3.2,275.62,6,0,10.2,0
C04440,33,57436,756,4.5,65.25,1,1,3.5,0
C00466,59,83319,662,4.3,231.26,6,0,16.7,0
C00249,52,75987,737,3.3,90.75,4,3,27.3,0
C00932,48,50812,647,8.2,109.62,3,3,13.1,0
C01336,60,27214,711,2.6,186.11,2,2,30.5,0
C04525,53,58138,696,8.9,127.72,2,1,23.1,0
C01339,52,82373,657,4.1,86.4,4,0,15.4,0
C01407,34,34693,597,6.1,140.32,1,1,18.8,0
C01091,41,69063,703,7.3,282.6,1,1,25.4,0
C04210,45,75624,698,1.4,150.72,2,0,20.4,0
C00743,46,49640,726,4.0,218.11,1,1,19.9,0
C02324,47,79013,548,6.5,264.03,0,2,6.3,0
C03602,45,46995,695,2.4,215.79,3,0,13.3,0
C02124,45,61689,663,7.7,70.63,1,2,27.9,0
C02095,27,70868,626,6.7,216.32,2,0,11.5,0
C00241,26,28653,697,7.2,245.0,1,3,23.1,0
C02352,51,67693,681,5.2,109.44,3,1,17.0,0
C01371,56,54058,674,1.6,306.93,3,0,19.1,0
C01058,51,37143,579,5.5,194.96,4,2,22.8,0
C04817,55,71970,682,9.1,78.64,4,1,18.8,0
C00200,59,52654,766,4.0,108.31,3,0,8.1,0
C02281,51,50177,669,6.3,164.82,5,2,24.5,0
C04750,35,73831,665,10.5,179.55,1,0,24.5,0
C02221,58,74565,626,0.2,121.37,1,1,9.5,0
C04772,51,49429,677,5.9,135.65,3,1,6.3,0
C02820,49,53425,661,4.5,157.21,4,1,24.7,1
C03151,49,52177,701,6.3,131.17,0,0,28.2,0
C04257,34,35124,603,3.7,189.55,3,4,16.6,0
C03108,35,45507,735,6.9,148.58,2,0,20.5,0
C01974,34,75373,712,2.1,44.95,3,2,18.8,0
C01376,59,73480,709,10.8,141.37,4,0,17.0,0
C03969,44,31039,600,5.0,201.59,2,4,23.7,0
C04063,46,45284,638,6.7,347.31,1,0,18.0,0
C04446,37,49383,648,3.3,124.24,1,1,18.9,0
C03558,34,64101,727,4.8,193.19,1,1,17.5,0
C00965,58,22072,735,7.9,217.63,0,3,17.7,0
C00180,41,52673,680,5.3,69.0,2,0,22.0,0
C03699,32,69300,643,10.7,269.73,3,1,21.9,0
C03822,21,71971,567,8.6,221.19,3,0,21.8,0
C04879,47,74786,719,5.1,197.66,5,0,20.1,0
C03900,57,72825,702,0.6,209.26,2,1,17.8,0
C04488,31,57848,642,6.0,352.61,3,2,11.7,0
C03239,56,40095,642,2.6,107.77,1,0,18.3,0
C02975,21,69144,722,10.9,175.93,3,0,15.5,0
C03581,56,56335,780,12.1,149.92,2,2,28.4,0
C02888,23,80314,739,0.8,307.32,2,3,18.7,0
C02576,34,71403,709,4.7,190.02,0,4,15.0,0
C01420,40,38612,678,1.6,276.23,1,1,22.7,0
C03908,59,46306,756,2.5,124.32,1,1,23.3,0
C04674,55,33859,700,2.9,105.55,1,0,13.8,0
C04903,45,62986,649,9.3,124.03,1,2,14.9,0
C01861,50,58894,671,9.7,241.97,0,1,25.3,0
C00009,29,48842,657,2.2,130.83,5,2,20.2,0
C02895,31,57821,739,12.7,186.79,2,1,16.4,1
C02848,36,91412,662,5.6,168.2,2,3,15.9,0
C03665,41,50896,742,7.5,211.25,4,1,13.4,0
C00145,60,42501,613,4.0,179.63,2,0,9.5,0
C02105,55,69924,722,3.9,150.52,5,1,13.4,0
C03144,43,40112,684,4.9,253.42,2,0,11.8,0
C00842,47,71099,733,7.9,143.65,0,2,26.6,0
C01129,43,45874,550,3.6,97.62,2,0,16.8,0
C00152,32,59303,604,2.6,244.47,1,2,14.2,0
C03592,32,63157,593,7.7,37.24,1,0,27.4,0
C01053,41,51528,784,7.3,192.01,1,1,18.6,0
C01591,50,87983,579,0.7,332.07,5,1,22.8,0
C03009,46,44119,663,8.9,203.53,0,1,24.1,0
C02030,34,62689,661,7.7,239.89,0,1,26.8,0
C03419,24,45887,824,5.8,206.25,3,1,33.5,0
C01808,40,27452,727,1.6,240.67,1,1,27.5,0
C02697,26,47729,694,7.5,159.49,0,0,13.0,0
C03040,28,66938,801,7.2,299.64,0,3,21.7,0
C00473,38,39704,721,4.5,270.77,1,2,4.6,0
C03290,28,27123,612,4.7,180.65,2,0,19.2,0
C04075,33,70979,679,11.5,219.59,2,0,14.8,0
C03497,25,64948,664,8.6,60.08,1,1,13.7,0
C00280,24,49439,793,10.6,247.1,1,1,16.3,0
C01742,50,49486,636,3.1,122.34,2,0,22.3,1
C04625,36,58354,632,3.5,171.29,2,0,18.9,0
C02887,58,59556,662,6.7,240.42,0,1,24.1,0
C01942,31,64165,631,2.5,298.25,1,1,28.6,0
C00101,54,50322,701,2.5,253.56,4,1,12.9,0
C02805,27,53544,629,5.7,77.87,2,0,17.0,0
C03571,52,70389,682,4.4,91.55,5,1,23.2,0
C03685,60,52873,564,4.6,285.33,2,0,18.6,0
C03662,39,91690,672,4.7,114.56,2,0,35.0,0
C00531,44,43236,801,6.1,89.59,1,3,15.7,0
C01887,47,77928,691,4.8,164.05,2,0,12.9,0
C00682,26,61193,772,3.9,106.72,2,0,22.6,0
C03795,56,72037,659,5.6,285.83,1,1,19.4,1
C03945,26,53946,690,7.1,165.85,0,1,15.6,0
C04667,33,72502,712,3.5,177.52,1,1,22.1,0
C02019,49,69793,580,1.8,225.93,3,1,34.8,1
C01097,54,52690,662,0.2,274.53,1,2,13.4,0
C00830,22,38020,659,4.1,189.5,0,0,30.4,0
C02806,59,76395,655,5.7,160.54,3,0,9.0,0
C03830,27,53213,781,0.2,163.44,1,1,22.8,1
C04382,25,18000,645,1.5,136.07,3,2,15.2,0
C03892,58,34566,764,9.7,299.88,1,1,22.3,0
C00765,35,55618,680,7.1,180.65,2,1,18.5,0
C02768,60,48445,705,4.9,129.62,4,1,27.3,0
C04329,22,37484,621,3.6,180.35,5,0,14.6,0
C03296,52,71985,667,4.1,199.89,1,0,16.0,0
C02195,47,77793,681,10.3,254.6,5,2,13.0,0
C02358,29,69610,549,6.5,312.07,2,0,23.1,0
C03426,60,91717,588,1.3,322.43,2,0,12.4,0
C03980,27,77291,714,2.5,159.86,1,3,20.7,0
C00912,28,47134,806,1.4,204.07,2,0,19.1,0
C03146,43,57555,715,5.1,86.06,1,1,21.6,1
C01000,41,50066,734,7.7,169.27,0,0,21.9,0
C03654,41,54339,786,7.1,68.66,4,1,23.6,0
C02484,33,70849,689,3.5,233.31,0,0,16.0,0
C04077,60,71079,735,7.0,160.95,6,0,17.2,0
C02371,22,83213,722,6.2,267.27,1,3,32.8,0
C04839,55,31576,532,9.0,135.09,5,2,18.7,0
C00034,43,50799,640,3.5,247.59,1,1,20.0,0
C03790,33,51435,659,5.2,175.74,3,2,14.3,0
C01021,23,75437,625,3.3,230.49,0,1,16.2,0
C01648,47,37226,555,5.0,131.0,1,0,12.7,0
C00734,51,60700,809,2.0,181.8,1,1,12.4,0
C04583,27,51066,595,8.3,97.18,3,1,25.8,0
C03275,30,57285,735,6.4,209.73,4,3,17.6,0
C01621,31,42638,743,5.9,286.64,1,1,12.4,0
C03136,21,62356,734,9.3,279.34,3,0,23.8,0
C02690,60,50151,711,9.4,65.84,5,0,22.7,0
C02708,33,75315,734,6.8,275.04,0,1,20.3,0
C00298,38,28354,711,2.3,130.63,4,3,9.0,0
C02340,24,31649,691,7.9,100.67,3,2,21.2,0
C00654,53,63870,804,4.9,238.26,1,2,21.3,0
C03775,38,77277,657,1.2,307.79,1,3,13.7,0
C01256,24,41627,595,0.9,260.22,4,2,19.2,0
C04521,60,76665,725,6.0,245.45,1,1,20.4,0
C00231,39,78487,666,8.1,338.47,2,0,23.9,0
C03277,23,55251,709,2.2,178.03,5,0,16.9,0
C03231,54,30313,687,6.2,159.47,5,1,19.8,0
C00692,52,70985,727,6.4,158.78,3,2,17.4,0
C02755,60,58785,600,1.8,268.09,3,2,26.8,0
C04864,49,50801,690,6.2,141.57,1,1,22.6,0
C00970,22,55983,659,2.7,68.49,2,2,13.9,0
C00634,36,70720,850,5.5,229.2,1,0,14.3,1
C04093,35,51486,622,0.4,130.87,5,0,18.5,0
C04078,45,64126,624,4.2,104.54,0,0,22.7,0
C01322,31,61692,689,8.5,109.52,3,1,20.7,0
C01832,59,51408,612,5.8,213.75,2,0,22.9,0
C02179,46,82593,673,5.3,228.98,0,2,14.0,0
C01418,38,79641,600,7.7,96.56,3,1,15.9,0
C01783,21,44974,600,8.3,99.65,4,1,16.4,0
C04716,41,58318,689,8.6,156.12,0,0,23.0,0
C04702,23,63496,521,7.7,272.49,2,1,21.0,0
C04119,29,73923,656,4.3,170.04,3,1,14.0,0
C01653,23,61544,649,3.3,244.28,0,5,19.6,0
C01484,25,43667,632,1.4,214.18,2,3,9.1,0
C02276,37,41403,622,7.6,98.29,4,0,15.7,0
C00878,50,66682,727,8.1,47.29,0,0,23.9,0
C03526,29,57644,515,3.3,130.52,2,1,23.2,0
C02017,37,71295,689,0.2,110.51,2,0,13.3,0
C00427,55,38896,678,9.7,140.84,2,0,21.3,0
C00627,34,31434,583,3.2,235.64,2,4,16.1,0
C01590,22,57425,803,0.2,236.87,3,3,17.6,0
C02224,37,43195,757,5.5,41.69,6,1,13.9,0
C02218,60,44580,643,2.2,131.65,5,2,23.5,0
C04484,23,58078,612,6.7,31.65,5,0,12.3,0
C01486,55,66329,581,7.3,199.64,4,0,9.5,0
C01740,29,60765,618,9.8,165.09,1,0,17.3,0
C02481,47,72940,655,0.2,234.24,2,1,1.0,0
C02585,35,72428,702,0.2,283.03,2,2,23.2,0
C02894,57,71971,584,1.7,144.73,2,2,21.1,0
C00150,23,42659,589,0.2,249.97,3,1,12.5,0
C00677,44,65315,643,0.2,302.68,2,0,15.8,0
C01262,57,63954,720,6.0,213.08,5,2,12.2,0
C04918,31,73532,725,6.9,228.81,2,0,15.7,0
C00013,50,27364,635,4.9,154.42,2,1,18.6,0
C01834,23,40623,668,2.6,197.74,2,1,33.0,0
C03249,26,64884,678,5.4,171.77,1,1,21.9,0
C01492,40,62046,775,9.2,158.54,2,0,19.7,0
C02728,22,40653,626,4.9,361.44,2,2,14.6,0
C03687,25,68378,651,0.8,257.03,3,1,23.4,0
C01425,31,55263,781,3.7,186.83,3,1,12.4,0
C04606,39,81413,688,2.6,195.25,4,2,8.1,0
C04596,22,72253,720,5.0,186.4,4,2,27.1,0
C00732,37,57657,669,6.1,78.76,4,0,24.5,0
C01232,50,64163,657,2.9,129.38,1,0,23.4,0
C01635,37,71615,628,8.1,159.2,2,0,23.8,0
C03937,41,65916,753,3.6,181.49,0,2,9.6,0
C01211,45,51507,601,1.9,133.62,3,0,14.6,0
C03269,26,32374,721,5.2,157.1,2,1,14.8,0
C01935,26,84171,741,4.4,273.44,3,3,22.2,0
C00554,33,49988,697,6.6,189.18,4,0,20.6,0
C00492,55,76324,704,6.8,298.7,1,0,13.4,1
C02963,59,38721,752,2.9,213.99,2,2,21.4,0
C02330,26,65725,697,8.3,317.08,4,0,17.3,0
C02196,53,45797,655,6.0,225.85,1,1,17.9,0
C03065,49,61035,642,4.0,132.6,4,1,14.8,0
C00658,46,70790,774,5.1,115.79,5,1,25.7,0
C02375,48,47935,649,0.5,214.66,2,1,22.1,0
C02226,45,48308,561,2.0,352.36,1,1,17.6,1
C04265,44,72858,674,5.8,246.48,1,2,18.1,0
C01171,46,72874,671,1.1,272.7,1,1,12.4,1
C00133,24,73995,774,6.7,151.69,3,3,21.5,0
C00472,53,82464,688,8.5,206.95,3,0,22.7,0
C03226,51,60792,647,2.7,237.44,1,3,31.1,0
C01406,27,43870,712,6.4,174.58,3,0,5.3,0
C02877,47,45177,738,3.9,188.77,1,2,24.0,0
C04505,21,80648,623,4.2,176.04,2,0,18.7,0
C04693,60,104408,665,11.5,102.68,6,1,17.7,0
C02827,35,45710,643,10.7,314.5,2,2,23.4,0
C00288,43,48065,612,0.2,148.95,2,2,14.7,0
C01870,51,54211,693,9.9,284.95,3,2,16.3,0
C03115,35,79372,640,1.9,72.3,1,4,20.5,0
C03626,50,35018,653,8.4,227.98,0,0,17.8,0
C02313,41,40195,822,8.5,136.19,0,1,14.0,0
C04924,48,64718,732,1.2,242.32,2,0,21.2,1
C01619,25,57721,633,5.1,103.97,2,3,7.2,0
C00995,42,84734,611,9.5,130.26,1,0,17.9,0
C01804,31,76985,850,0.2,175.04,4,0,21.9,0
C02643,29,33456,557,2.7,169.02,3,2,29.8,0
C04803,29,68597,636,7.5,315.93,2,0,17.3,0
C03536,23,77476,671,5.7,227.58,1,0,14.0,0
C04832,25,51201,615,4.5,172.58,1,1,17.7,0
C03912,59,66013,644,6.0,164.9,1,2,15.7,0
C02108,26,60375,647,5.6,235.87,1,0,18.7,0
C03045,28,51182,710,3.4,174.39,2,1,13.4,0
C00417,59,43249,608,0.2,215.42,2,1,8.9,0
C00978,43,40323,763,7.6,174.44,5,0,14.1,0
C02418,31,62626,716,4.8,354.33,0,2,14.7,0
C00506,39,66323,795,3.7,167.86,0,1,19.8,0
C04153,57,39880,748,4.5,218.85,1,1,1.0,0
C04256,34,81025,793,8.4,220.95,2,2,18.6,0
C03942,33,32423,624,7.0,304.46,1,3,13.6,0
C00415,21,32970,603,2.7,52.51,2,3,26.8,0
C04149,55,45841,750,7.5,106.79,2,1,23.9,0
C01184,38,64462,778,5.9,243.67,1,1,23.8,0
C00486,30,68045,565,3.1,214.15,2,0,8.7,0
C00894,60,30579,785,2.9,211.04,1,1,20.5,0
C00806,52,54329,668,1.6,137.32,2,0,3.6,0
C00556,41,65315,767,5.4,290.57,0,2,22.2,0
C03826,57,24573,743,5.9,147.09,3,0,17.6,0
C01198,60,45289,552,3.5,257.82,4,1,14.4,0
C04254,34,69245,663,4.9,101.41,0,4,5.9,0
C04059,29,57446,706,9.7,152.49,0,1,27.6,0
C01294,21,47889,719,10.2,177.34,2,0,20.6,0
C02222,27,66929,747,6.0,148.36,1,4,10.8,0
C03505,21,20902,739,4.7,203.32,3,0,22.1,0
C03655,47,50131,744,5.1,156.37,0,1,16.5,0
C04759,39,47134,660,6.2,169.99,1,2,15.2,0
C03007,44,81366,699,4.7,107.93,3,0,20.4,0
C02094,28,65358,708,2.1,92.92,2,2,21.9,0
C02188,31,37333,680,6.3,196.1,2,0,11.0,0
C03037,53,55248,672,10.9,177.08,6,1,19.3,0
C03919,23,47148,577,11.9,322.19,4,2,23.3,0
C01273,58,61829,778,7.0,232.64,2,1,21.8,0
C00291,53,40834,755,10.8,214.09,0,1,25.2,0
C04828,42,61903,769,2.7,143.0,0,1,13.0,0
C00253,28,60898,645,0.2,210.46,4,0,23.4,0
C03246,53,49724,637,5.8,184.89,3,3,18.7,0
C00351,42,63405,640,3.7,169.11,1,0,19.7,1
C01188,44,53091,753,2.2,124.53,1,1,26.8,0
C01962,60,58672,570,7.1,279.3,2,1,15.8,0
C00423,51,55969,741,4.9,109.52,4,2,12.2,0
C00091,38,42020,850,3.4,98.59,5,0,18.3,0
C03730,46,58664,628,6.1,229.46,0,1,12.5,0
C02237,30,45652,682,5.7,187.22,3,1,13.3,0
C00671,59,44999,718,8.1,330.0,2,0,13.9,0
C03041,36,83632,688,9.1,272.49,2,1,22.5,0
C00027,37,59916,636,5.1,207.45,0,1,12.3,0
C00430,49,21358,730,2.1,47.44,1,3,15.5,1
C00684,59,60546,632,4.9,189.56,1,0,23.3,0
C04464,47,89917,662,7.0,224.72,0,1,19.0,0
C03946,50,34009,583,6.7,200.95,0,3,20.6,0
C03524,27,77895,816,6.0,188.12,1,1,14.1,0
C01542,30,61599,523,1.9,138.68,3,2,20.9,0
C02032,28,47251,653,4.0,81.79,1,0,14.6,1
C02233,58,40907,584,3.7,305.2,0,1,18.3,0
C04121,50,72551,693,5.3,100.16,3,1,27.0,0
C03236,43,83431,819,4.1,173.56,1,1,18.5,0
C00255,47,67858,644,8.1,108.84,2,0,22.8,0
C01030,34,64161,566,2.5,197.4,4,2,13.7,0
C04393,21,75747,584,10.7,246.15,5,0,21.4,0
C03801,57,42204,728,3.9,199.32,2,1,11.9,0
C04311,41,48192,711,7.0,83.99,1,1,13.4,0
C02510,25,85975,801,4.5,214.63,4,2,28.8,0
C02293,30,67199,645,4.3,165.85,1,1,25.5,0
C01324,56,66256,680,4.7,89.33,2,1,22.1,0
C01551,32,70175,565,5.7,250.2,0,0,30.9,0
C04648,24,46798,647,4.7,176.95,0,0,9.2,0
C00316,47,30746,613,2.8,222.25,5,1,24.8,0
C01243,59,94397,654,7.9,263.83,3,1,26.6,0
C02451,54,64220,671,5.9,249.39,2,0,11.3,0
C01579,25,41689,761,8.0,118.48,2,0,20.9,0
C04626,36,69417,529,5.9,183.24,2,1,13.5,0
C03117,46,61711,630,4.6,172.5,3,2,13.0,0
C00070,39,46202,671,7.4,302.93,3,2,9.6,0
C00860,53,62739,716,5.7,110.57,2,1,17.0,0
C02754,47,51706,617,2.8,213.1,2,3,18.4,0
C01633,24,49065,646,0.2,179.55,1,1,23.5,0
C01651,28,63255,662,0.2,75.77,1,0,29.5,0
C03861,42,28573,654,1.9,156.49,3,2,21.4,0
C03107,55,63408,699,3.5,320.31,1,1,21.5,1
C01075,39,44089,642,4.5,197.89,2,1,26.7,1
C04002,54,54877,629,7.0,144.06,2,1,15.8,0
C00788,48,68046,685,6.7,182.3,0,1,22.9,0
C02606,51,57223,667,2.4,161.62,0,1,15.1,0
C03631,39,85832,849,3.7,157.93,0,1,25.6,0
C02122,59,57683,595,6.8,287.27,3,3,16.8,0
C01875,37,44262,736,3.9,69.16,2,0,16.4,0
C00812,56,79665,628,2.3,166.66,0,0,14.9,0
C00388,54,40065,719,7.1,106.21,2,2,15.3,0
C02883,43,62898,627,1.4,140.66,1,0,14.8,0
C01176,34,45586,772,6.4,276.75,4,1,17.8,0
C03198,53,81246,691,7.6,223.49,4,2,21.4,0
C02624,57,73299,845,10.2,77.46,4,3,3.5,0
C01352,36,39168,761,13.0,203.5,1,0,16.8,0
C00411,27,54085,692,7.2,151.96,2,2,18.7,0
C04213,37,71074,693,6.0,191.39,3,0,21.5,0
C00110,49,49299,691,8.4,188.31,2,2,27.9,0
C04996,29,48638,714,3.0,160.02,1,0,20.1,0
C03430,33,71658,655,3.1,242.58,2,0,28.5,0
C02810,28,36165,707,5.6,78.21,3,0,9.3,0
C02595,33,55083,768,7.6,164.34,5,1,12.2,0
C02837,59,40078,639,4.0,108.22,4,1,20.4,0
C02373,23,63709,661,8.4,315.12,6,0,21.4,0
C01236,34,63423,729,7.2,138.77,4,2,18.7,0
C02147,28,58601,713,5.4,33.29,4,1,12.3,0
C04976,53,52762,711,5.4,158.66,1,1,17.1,0
C00600,46,49397,706,2.6,282.88,1,0,18.6,0
C01435,33,47670,645,9.2,157.37,2,1,21.3,0
C04997,50,62873,801,5.1,194.32,3,1,27.4,0
C00539,42,35180,705,5.2,195.47,1,0,20.0,0
C00722,58,45705,601,5.4,166.57,3,1,27.9,0
C04411,25,39894,749,4.4,72.84,2,0,19.8,0
C01873,45,40785,725,0.2,205.98,2,1,18.8,0
C02846,39,41539,737,3.8,205.53,2,1,8.2,0
C02054,58,47497,606,12.2,237.43,1,0,20.7,0
C02908,58,42596,642,3.3,155.64,1,1,9.8,1
C02255,32,66893,643,1.2,165.82,0,2,6.7,0
C03913,28,72203,595,11.3,222.26,1,0,22.6,0
C00178,27,58172,703,0.2,257.75,1,0,11.9,0
C02891,26,66936,630,0.2,146.5,5,2,14.1,0
C03674,21,48448,697,0.3,105.97,3,1,20.2,0
C00081,58,53950,648,4.3,120.29,5,1,13.8,0
C02562,35,61370,570,6.4,171.05,4,1,19.1,0
C01724,50,62555,745,1.9,20.0,2,3,14.7,0
C01618,41,45574,754,2.3,172.47,1,1,22.9,0
C01655,27,63474,782,1.7,329.44,1,0,16.7,0
C02329,22,51445,665,3.8,245.82,1,1,22.0,0
C04614,41,55402,661,12.1,243.01,0,1,23.6,0
C00222,39,50929,631,2.0,277.93,1,0,24.4,0
C00094,36,64469,666,4.9,163.31,1,1,3.9,0
C02610,54,54732,681,7.0,109.65,2,1,7.2,1
C03383,59,49132,774,6.7,124.49,1,2,16.3,0
C04416,38,35575,707,8.9,243.9,1,0,17.3,0
C01398,47,82757,736,1.1,182.11,2,1,19.3,0
C04687,58,52139,695,5.6,211.27,2,0,18.4,0
C01293,38,44905,641,8.2,238.26,2,2,25.7,0
C02165,59,56464,587,4.2,185.27,0,1,20.2,0
C02940,27,72190,633,8.8,326.99,0,1,13.6,0
C03669,38,61582,632,0.2,83.72,1,0,6.0,0
C00813,48,41852,694,8.9,131.98,4,0,15.8,0
C01259,42,62835,638,3.5,221.6,2,1,31.0,0
C00890,31,50779,674,0.2,182.75,1,1,13.8,0
C01452,22,81863,771,4.5,293.35,2,1,10.3,0
C03317,46,46064,705,11.7,215.14,3,0,15.9,0
C02560,44,31140,685,5.8,252.57,3,1,14.6,0
C03575,59,53562,758,5.9,47.75,2,0,32.5,0
C02681,25,62198,639,2.4,181.38,2,0,21.6,0
C04652,60,54323,686,8.4,259.96,1,3,19.4,0
C04812,30,44209,704,4.4,164.8,2,0,24.1,0
C04680,23,62746,686,12.1,118.65,5,0,15.9,0
C02965,50,66658,643,5.5,122.2,0,0,19.7,0
C02673,55,44383,837,6.3,77.7,0,0,27.6,0
C00562,22,70905,624,5.4,222.3,2,1,17.8,0
C02779,36,70162,657,2.5,163.25,0,0,18.2,0
C02949,42,59310,718,10.9,282.53,1,2,25.4,0
C02818,55,62974,580,5.1,212.0,1,1,28.7,0
C02759,35,30232,804,0.2,243.45,1,2,12.5,0
